band1,band2,energy,zcr,activity
102905389.0,37428937.0,53911727461657.617,0.0075125000000000001,1
61537627.0,21427561.0,32944932876419.355,0.0059583333333333337,1
44512676.0,15311767.0,20148092591723.852,0.0067124999999999997,1
59890048.0,20460221.0,30292297297105.105,0.0068500000000000002,1
69700702.0,25313299.0,34457389490856.922,0.0060666666666666664,1
129873517.0,46008754.0,73910263095314.719,0.0056625,1
67005594.0,24722631.0,33760240614292.477,0.005754166666666667,1
79728237.0,26459222.0,36338045689827.078,0.0062375,1
77628414.0,27003145.0,46421140961046.062,0.0053291666666666669,1
93320137.0,30839084.0,115725409698904.23,0.0056375000000000001,1
66915715.0,23703405.0,39180395603462.812,0.0053874999999999999,1
67166440.0,22824155.0,31867871767838.695,0.006391666666666667,1
76418695.0,26778852.0,36954306432223.508,0.0059874999999999998,1
80733637.0,28479683.0,39180296187530.32,0.007541666666666667,1
47371176.0,15972339.0,23812347967700.219,0.0058458333333333331,1
70167073.0,24640432.0,30960422481041.707,0.0049583333333333337,1
70128478.0,24629478.0,31915766763381.855,0.0067416666666666666,1
103916369.0,36836615.0,55452242239978.375,0.0058708333333333329,1
77455053.0,27990602.0,33681664511439.762,0.0050166666666666667,1
81689244.0,31262463.0,35346336179601.531,0.0054041666666666665,1
91253168.0,33646159.0,45457722046537.078,0.0070416666666666666,1
68816132.0,24520489.0,26466022830905.723,0.0051333333333333335,1
70465859.0,25691786.0,28125828978372.414,0.0038916666666666665,1
99243931.0,34944091.0,49348664415928.766,0.0053166666666666666,1
114445551.0,41146974.0,59686672390079.641,0.0058708333333333329,1
87019714.0,31243110.0,38486463199281.758,0.006358333333333333,1
67863951.0,23245107.0,29158974939860.98,0.0057458333333333337,1
89065470.0,31349715.0,39073502462956.703,0.0055250000000000004,1
146784859.0,52004822.0,81775016162698.219,0.005933333333333333,1
64868910.0,21781412.0,25290786498481.113,0.0040375000000000003,1
66181544.0,21986560.0,31579662347921.137,0.0069125000000000002,1
84712365.0,29234014.0,37730763985691.227,0.0049708333333333332,1
64197417.0,23932361.0,28874671046951.852,0.0064166666666666669,1
71986477.0,25529468.0,28351397442949.82,0.0075041666666666668,1
40383050.0,15247720.0,17763778426443.617,0.0056249999999999998,1
70333813.0,24502519.0,30309627546255.656,0.0062500000000000003,1
84486620.0,28965529.0,36473850806914.086,0.0056541666666666667,1
56842704.0,20177364.0,22998214578954.676,0.0064166666666666669,1
56697780.0,20072542.0,23648236228595.238,0.0059458333333333334,1
76717556.0,25904148.0,29704713810823.633,0.0065208333333333333,1
75362070.0,26592824.0,35407795101466.242,0.0053291666666666669,1
97845239.0,34415751.0,40275895055734.906,0.0039375,1
50458084.0,17369013.0,24873496542592.051,0.0052458333333333333,1
157016484.0,55859658.0,101743620535706.91,0.0050375000000000003,1
54197170.0,18338524.0,25479885836134.555,0.006029166666666667,1
72379048.0,25576798.0,29482196750309.258,0.0058708333333333329,1
52898155.0,16701016.0,22875077803555.449,0.0055333333333333337,1
42481342.0,13409535.0,18751974289762.363,0.0064124999999999998,1
53936935.0,17741483.0,21090610399972.801,0.0054208333333333331,1
81600180.0,27869379.0,39199256557152.297,0.0057875000000000001,1
85826129.0,31166631.0,48914979434994.758,0.0081166666666666661,1
82324005.0,28333281.0,34589183296900.594,0.0081375000000000006,1
93484177.0,32929979.0,38857336914522.945,0.0076708333333333333,1
73173048.0,24380066.0,29318004377220.797,0.0077374999999999996,1
87973023.0,30754554.0,38953431483728.828,0.0092875000000000006,1
82195062.0,28253285.0,33113552283315.379,0.0072291666666666667,1
81363318.0,28700991.0,35047520816298.477,0.0072041666666666669,1
91581100.0,33464079.0,38098208425278.094,0.0072125000000000002,1
76727307.0,27219231.0,30477189494293.75,0.0075666666666666669,1
89521876.0,30801287.0,40104364319891.047,0.0074166666666666669,1
71116529.0,24622236.0,26947993015627.098,0.0080416666666666674,1
80224894.0,27819850.0,32575984981343.641,0.0086041666666666662,1
82640419.0,30338701.0,35466149140346.023,0.0075916666666666667,1
79395773.0,27748949.0,35368992286754.75,0.0075666666666666669,1
92327044.0,32539201.0,36914111260383.969,0.0075333333333333337,1
89272233.0,30592412.0,53943543488599.227,0.0077791666666666669,1
71877723.0,24860940.0,28551633640026.391,0.0069583333333333337,1
77143778.0,27988009.0,34722367249657.125,0.008420833333333334,1
69821378.0,25100305.0,29826334745906.891,0.0068250000000000003,1
97759448.0,34861772.0,46348892389678.352,0.0078499999999999993,1
80253876.0,27997898.0,50628914289314.938,0.0072916666666666668,1
102279996.0,34835006.0,44262375857475.867,0.0086958333333333332,1
74257792.0,25918682.0,30098072854416.832,0.0097416666666666658,1
80259852.0,26850581.0,32234986873959.789,0.0070000000000000001,1
86107484.0,29649971.0,38764634331505.805,0.0060958333333333333,1
75733115.0,26515638.0,28962789538209.07,0.0084875000000000003,1
86003198.0,28824266.0,35129717424172.859,0.0079083333333333332,1
93566653.0,31834491.0,42964741789471.492,0.0066375000000000002,1
84090318.0,26968584.0,36198322370963.969,0.0076375000000000002,1
111820855.0,38456415.0,49286292390603.305,0.0088874999999999996,1
67416161.0,23851966.0,28250973290947.059,0.0055208333333333333,1
97811957.0,33499324.0,44330895384376.414,0.010054166666666666,1
85412868.0,28913098.0,39568303186630.742,0.010291666666666666,1
82562373.0,27212921.0,33367868217299.953,0.0088166666666666671,1
77012846.0,26154942.0,37091428647316.633,0.0086208333333333328,1
105744204.0,36232731.0,49174622192884.734,0.0098166666666666662,1
74649658.0,20961173.0,32353159669815.379,0.0087916666666666664,1
79635281.0,26469706.0,33239773479716.035,0.0054374999999999996,1
70287877.0,24381044.0,25844808745562.359,0.0078250000000000004,1
75788156.0,25264338.0,33058226342253.055,0.0092999999999999992,1
77520725.0,25275219.0,40835633926183.852,0.0091625000000000005,1
88599817.0,28705761.0,42308486731888.047,0.0077583333333333332,1
133728533.0,44440260.0,77525008862450.109,0.0084666666666666675,1
80656728.0,26995178.0,36353312678510.234,0.0079458333333333325,1
56896353.0,16514584.0,41112072599767.367,0.0054250000000000001,1
102385903.0,35144374.0,63398409519397.492,0.0071083333333333337,1
64484447.0,20454843.0,45637584043839.344,0.0082166666666666673,1
78781544.0,24519462.0,52158176144779.414,0.0067749999999999998,1
78149560.0,25293435.0,36935046189349.578,0.0072708333333333331,1
69095111.0,22262371.0,30290832359968.539,0.0077791666666666669,1
261222041.0,382032492.0,903532206435403.25,0.0039041666666666665,2
270462807.0,480647568.0,1110790534086901.2,0.0073875,2
383229572.0,567320388.0,1713423152986862.8,0.0045125,2
439658247.0,603155946.0,2168034281107006.2,0.0043,2
398237126.0,472268001.0,1597672872812601.8,0.0060791666666666667,2
404330163.0,428129152.0,1693131318024560.5,0.0060124999999999996,2
456096320.0,746203838.0,2434300900834226.0,0.0045624999999999997,2
441764772.0,681439660.0,2392638769637835.5,0.0044416666666666667,2
565631178.0,584284973.0,2661411903975904.5,0.0048791666666666671,2
372088657.0,501632696.0,1504626016346003.8,0.0054374999999999996,2
506511566.0,482823339.0,2201018094525202.2,0.0055333333333333337,2
545654989.0,500449221.0,2552461479833967.5,0.0046375000000000001,2
495846401.0,489401397.0,2226486433834759.0,0.0042500000000000003,2
488993123.0,337634482.0,1843058902300819.0,0.0043791666666666666,2
425968282.0,593392332.0,2358881938007973.0,0.005783333333333333,2
499567326.0,647289116.0,2918847988159386.5,0.0042833333333333334,2
481041926.0,557700687.0,2742103606199225.0,0.0043708333333333333,2
551257978.0,672259496.0,3195380469109603.0,0.0046583333333333329,2
526763313.0,567062122.0,2580350785735285.5,0.0051291666666666664,2
423232298.0,656412454.0,2436350775566366.5,0.0049833333333333335,2
279767370.0,442004928.0,1190332060690816.5,0.0079000000000000008,2
290306570.0,443181420.0,967492015217065.75,0.0052958333333333329,2
213056204.0,572934308.0,1087105437505212.5,0.0072708333333333331,2
584187895.0,350408421.0,2009190690510134.2,0.0029958333333333334,2
388392083.0,323874302.0,1066511573611431.5,0.0053249999999999999,2
369269175.0,463021653.0,1379087911262793.2,0.0050000000000000001,2
377454806.0,616887613.0,2089227888392877.0,0.0053499999999999997,2
358616822.0,504424931.0,1565897257083316.2,0.0039375,2
298620163.0,483778582.0,1127798327212729.2,0.0053666666666666663,2
536910791.0,673799575.0,2625397688018415.5,0.0044749999999999998,2
336999776.0,442987236.0,1403687469887116.8,0.0082083333333333331,2
345485730.0,369886534.0,1035943260667466.5,0.0064625000000000004,2
315109243.0,380361684.0,969972955314042.62,0.0063041666666666663,2
277267682.0,439986574.0,952480002289849.25,0.0058291666666666665,2
357256626.0,425622100.0,1387015256478330.5,0.0054791666666666669,2
231176020.0,368556382.0,750643485442344.25,0.0053749999999999996,2
302577928.0,391396463.0,878645266939544.75,0.0054374999999999996,2
324231197.0,573504136.0,1412943227681319.2,0.0061250000000000002,2
279852142.0,492825186.0,1169350109905893.0,0.005966666666666667,2
252692356.0,675967334.0,1790750172794645.8,0.0054999999999999997,2
298981540.0,348593879.0,1050825505636423.2,0.0073625000000000001,2
391558914.0,610875467.0,1909525918287521.0,0.0061000000000000004,2
294949995.0,349163506.0,1032941550332384.0,0.0051958333333333336,2
375023316.0,364246048.0,1406928104351799.8,0.0051250000000000002,2
373181221.0,321252460.0,1343228125873078.8,0.0041208333333333331,2
317536523.0,306288378.0,1093524928765779.4,0.0033874999999999999,2
374892148.0,409121133.0,1518221650370324.5,0.0046666666666666671,2
296539905.0,425577365.0,1266810900997194.2,0.0049708333333333332,2
391769114.0,389638563.0,1635981116173977.8,0.0042708333333333331,2
294519017.0,474594422.0,1255185821194421.8,0.0040708333333333334,2
406421274.0,967571823.0,4509869232341688.0,0.0058458333333333331,2
549045975.0,879982442.0,4444410159188175.5,0.0049624999999999999,2
609885946.0,915192677.0,5788708150168409.0,0.0048083333333333337,2
499613820.0,643483927.0,3301383840429353.0,0.0048916666666666666,2
450340315.0,746175964.0,4057750599198464.5,0.0039833333333333335,2
514337118.0,935260336.0,4556092689761551.0,0.0055208333333333333,2
452691265.0,886640027.0,5173615283285062.0,0.0057375000000000004,2
597907481.0,763502337.0,4745898996539436.0,0.0042500000000000003,2
519533588.0,816403347.0,4233449157780554.0,0.0044374999999999996,2
658959158.0,818222504.0,5583572705867163.0,0.0050875,2
522847850.0,876118006.0,4799215472911529.0,0.0043750000000000004,2
584794849.0,876889782.0,5261882721530612.0,0.0047499999999999999,2
429826267.0,1085521880.0,5326436445217685.0,0.0061999999999999998,2
543070009.0,806257641.0,4144814068335627.0,0.0045458333333333331,2
498052263.0,1236542364.0,7218383953956498.0,0.006541666666666667,2
434157104.0,865662628.0,4395491357353264.5,0.005933333333333333,2
536773001.0,424900397.0,2753812222726990.0,0.0041416666666666668,2
427318230.0,907668960.0,4126954825092908.5,0.0055624999999999997,2
445896140.0,853771215.0,3921204351634859.0,0.0062041666666666669,2
444574699.0,935147155.0,4394972753160310.5,0.0051208333333333331,2
545084885.0,1028293224.0,6099554160443582.0,0.0055624999999999997,2
471632256.0,998836056.0,5732288991906206.0,0.0042916666666666667,2
435463317.0,789433463.0,4011735809502096.5,0.0044333333333333334,2
770139569.0,639411801.0,6096296978692158.0,0.003075,2
454502448.0,781344018.0,3582113011680661.0,0.0048124999999999999,2
622164848.0,951888052.0,5321512364484537.0,0.0053874999999999999,2
462619306.0,708588066.0,4059930053236714.0,0.0042541666666666665,2
562399155.0,839732568.0,4353263060048158.0,0.005208333333333333,2
545409111.0,998794438.0,5823253258535003.0,0.0053041666666666671,2
505828686.0,880346250.0,4902992317335086.0,0.0047166666666666668,2
607489189.0,787250445.0,4921687801555096.0,0.0048416666666666669,2
359984999.0,655966084.0,2663087175332798.5,0.0054250000000000001,2
399704061.0,810392753.0,3268143474927835.5,0.0036375000000000001,2
518953650.0,965137984.0,4985330702972266.0,0.0047875000000000001,2
431706204.0,874274181.0,4688951064942718.0,0.0048208333333333332,2
422425345.0,771290985.0,3397283010324202.5,0.0039375,2
480803573.0,689231802.0,3533950055109335.0,0.0052333333333333338,2
384829195.0,562173180.0,2447168275505495.5,0.0046291666666666668,2
562631820.0,447197632.0,3185143265607921.0,0.0029750000000000002,2
704977556.0,507182512.0,3893316086423011.0,0.0032333333333333333,2
629693819.0,602902802.0,4436431256624697.0,0.0031333333333333335,2
542674833.0,563544058.0,4753840770606457.0,0.0032125000000000001,2
608800349.0,1036358488.0,6658192686578409.0,0.0044708333333333336,2
561827476.0,645229533.0,3512209299258637.5,0.0048374999999999998,2
362632270.0,740017563.0,2638724718595046.5,0.0058291666666666665,2
381281386.0,652839507.0,2390339646825419.5,0.0041833333333333332,2
287876032.0,703014369.0,2285587367419815.5,0.005358333333333333,2
318760574.0,537391131.0,2052975960629573.2,0.0032374999999999999,2
367588921.0,793942892.0,3337976036679221.5,0.0061416666666666668,2
516050581.0,857164510.0,3697028878766601.5,0.0060583333333333331,2
197115027.0,124252474.0,802634182812990.12,0.0035500000000000002,3
289392390.0,187423806.0,1303916818277505.2,0.0028291666666666665,3
249132310.0,225850722.0,1022718422405683.5,0.0035833333333333333,3
264927285.0,194905670.0,1038798118921147.9,0.0032958333333333333,3
240349856.0,187038834.0,970635183584790.38,0.0033124999999999999,3
320976542.0,180117573.0,1035688255618670.9,0.0053041666666666671,3
315958828.0,172306080.0,985872394275815.88,0.0044708333333333336,3
329945708.0,130217725.0,978743569873881.0,0.0043375000000000002,3
191297082.0,77803412.0,701081938354251.5,0.0061374999999999997,3
327100624.0,142904832.0,971771725390006.12,0.0053625000000000001,3
195321959.0,125081514.0,409142914271026.81,0.0051916666666666665,3
336924888.0,179866939.0,1146314937173232.5,0.004391666666666667,3
331049006.0,172362036.0,1082895519538201.8,0.0049166666666666664,3
272134348.0,186876269.0,1090309084685781.6,0.0035750000000000001,3
217325679.0,191302202.0,986561136513702.88,0.0053666666666666663,3
215127409.0,153399787.0,858560467834475.38,0.0054958333333333335,3
222724739.0,203227409.0,971503855417541.5,0.0048791666666666671,3
217936332.0,115678459.0,896240051266680.62,0.0036041666666666665,3
217936332.0,115678459.0,896240051266680.62,0.0036041666666666665,3
211155617.0,170576830.0,926581810438053.62,0.005029166666666667,3
247791650.0,186829795.0,1073413737708353.6,0.005179166666666667,3
315228267.0,145656431.0,1026483682634437.9,0.0045666666666666668,3
325089195.0,178965145.0,1223061814282221.0,0.0047499999999999999,3
174630140.0,83544716.0,289500884043161.5,0.0047083333333333335,3
273246921.0,162517502.0,934823730145336.75,0.0037291666666666667,3
241218209.0,166096487.0,968793863827808.0,0.0041708333333333337,3
259822431.0,171240325.0,1012349759444903.5,0.0057875000000000001,3
273358263.0,224829893.0,976892802637983.88,0.0043833333333333337,3
192018650.0,144773470.0,886318850639216.88,0.0044958333333333335,3
240118119.0,158761366.0,863632684573580.75,0.0032666666666666669,3
207568327.0,135661140.0,836574708169792.5,0.0050458333333333336,3
265276056.0,162862485.0,857301666792072.62,0.0037958333333333334,3
333050541.0,179951216.0,1123362002963621.9,0.0057041666666666664,3
274373273.0,165083802.0,1094365546135582.5,0.0040708333333333334,3
265411206.0,182570682.0,990424438105030.12,0.0041041666666666666,3
313265383.0,147244601.0,1323345561624111.5,0.0034083333333333335,3
281070615.0,203194069.0,998166345809407.5,0.0041166666666666669,3
202354627.0,100771749.0,902712516031614.5,0.0034499999999999999,3
218487438.0,134224557.0,900341358395900.5,0.00365,3
93570913.0,66277205.0,181862404385752.44,0.0059874999999999998,3
355431570.0,130174851.0,1293480799808930.8,0.0047625000000000002,3
239987799.0,172369809.0,949643539609151.25,0.0044958333333333335,3
302299592.0,152397670.0,920193293946100.38,0.0039208333333333335,3
205813308.0,142337900.0,891923443558260.62,0.0042291666666666667,3
299228006.0,185241408.0,1427125573851736.8,0.0045500000000000002,3
385216572.0,175948818.0,1296327761872079.0,0.0038208333333333332,3
237675754.0,101024630.0,819544349771412.62,0.0052874999999999997,3
233112402.0,135329384.0,911286204239729.12,0.0038333333333333331,3
258308801.0,141412257.0,921582488555488.75,0.0039041666666666665,3
209560238.0,160993832.0,725426067061615.62,0.0021124999999999998,3
411536440.0,235807817.0,1729875358910973.0,0.0052208333333333334,3
568280472.0,301723204.0,2252188943097749.0,0.0066666666666666671,3
222887947.0,285158865.0,1146354757522710.0,0.0060124999999999996,3
154431009.0,130838850.0,819624095452199.88,0.0065041666666666668,3
772749403.0,388470366.0,4247017599522651.5,0.004454166666666667,3
546143392.0,293076388.0,2208167096633231.2,0.0057666666666666665,3
627114456.0,323069781.0,3834253892796612.0,0.0050041666666666663,3
699045992.0,377798208.0,4783149280280800.0,0.0039458333333333333,3
617270459.0,246776187.0,2681281374774928.5,0.0054333333333333334,3
463328236.0,297637818.0,1904698995999829.8,0.0051999999999999998,3
416050263.0,174357736.0,1628664732203000.8,0.0035374999999999998,3
274964482.0,224969198.0,1322205490071659.5,0.0068458333333333331,3
392485184.0,266178471.0,1794965227756344.5,0.0056916666666666669,3
298722588.0,218533626.0,1479344315057413.2,0.0063375000000000003,3
345483673.0,188660883.0,1578185639272305.5,0.006508333333333333,3
381620310.0,273243771.0,1840911796622164.2,0.0078208333333333342,3
208442270.0,181210084.0,887970589562433.38,0.0060041666666666663,3
238408066.0,193459842.0,938925615529767.62,0.0062833333333333335,3
301298454.0,236570054.0,1300088598095469.5,0.0063541666666666668,3
450471291.0,266867698.0,1993262841167072.5,0.0038291666666666665,3
389477442.0,197775526.0,1727583287413677.8,0.0060416666666666665,3
490781121.0,151105702.0,1839901966901437.8,0.0060916666666666662,3
597346212.0,254893462.0,2221887682151789.5,0.0061583333333333334,3
385584694.0,202292855.0,1696817540569715.2,0.0070375000000000004,3
559718837.0,267067362.0,2371464653366603.5,0.0059249999999999997,3
517526007.0,218681780.0,1878598217322299.8,0.0052916666666666667,3
609801091.0,269272755.0,2198445476943587.0,0.0059249999999999997,3
264252395.0,219903435.0,1294975276128740.5,0.006720833333333333,3
532397891.0,265275702.0,2123260463632978.5,0.0080874999999999992,3
556737395.0,268259032.0,2002959527033675.0,0.0074208333333333331,3
450952528.0,224239804.0,1949380115594928.8,0.0048583333333333334,3
405856300.0,263811748.0,1732253825195736.8,0.0075166666666666663,3
413387222.0,251436476.0,1844236257646297.0,0.007116666666666667,3
248563218.0,166511756.0,1138913319846377.8,0.005208333333333333,3
395346698.0,218694783.0,1761459899727660.8,0.0073833333333333338,3
373489113.0,179885776.0,1629180791787498.5,0.0081499999999999993,3
235181977.0,172649220.0,1064322804934017.9,0.0061624999999999996,3
329695995.0,196265953.0,1494942471501706.0,0.0055250000000000004,3
258685150.0,166295211.0,1193636651123634.0,0.0045875000000000004,3
355785227.0,164634805.0,1480673033392941.2,0.0064083333333333336,3
400231746.0,281017158.0,1942766851189694.0,0.0079708333333333332,3
291107087.0,266012666.0,1417020250214829.0,0.0050000000000000001,3
491960559.0,335321535.0,3319943374583260.0,0.0051500000000000001,3
420299188.0,225457572.0,1702087379960091.5,0.0068250000000000003,3
220245555.0,208435947.0,980538338982899.62,0.0073125000000000004,3
336194972.0,211019766.0,1630874404214749.2,0.0053083333333333333,3
377222553.0,167823376.0,1637884786888551.8,0.0069958333333333331,3
210475501.0,127635471.0,863531224459953.5,0.0067583333333333332,3
253721862.0,130625390.0,1092460977919395.1,0.0078583333333333335,3
253185531.0,167407871.0,1129189346510040.8,0.0048250000000000003,3
